,trial,time,acetate,biomass,butanol,butyrate,ethanol,Δ acetate,Δ biomass,Δ butanol,Δ butyrate,Δ ethanol,CO,CO2,H2,Flow Rate
2,1,3.5999999999999996,59.21,0.54,5.18,5.73,52.04,-11.39,0.06999999999999995,10.72,6.25,14.68,0.333,0.025,0.417,1
2,2,0.030000000000000027,14.38,0.35,0.08,0.08,24.82,26.261538461538464,0.0461538461538462,-0.07692307692307694,0.061538461538461535,-9.4,0.333,0.025,0.417,1
2,2,0.6799999999999999,31.45,0.38,0.03,0.12,18.71,97.97499999999997,0.22499999999999984,0.7749999999999999,2.7249999999999988,7.149999999999996,0.333,0.025,0.417,1
2,2,1.08,70.64,0.47,0.34,1.21,21.57,-26.038461538461572,0.19230769230769262,2.230769230769233,4.461538461538466,6.692307692307692,0.333,0.025,0.417,1
2,2,1.3399999999999999,63.87,0.52,0.92,2.37,23.31,2.31851851851852,0.029629629629629655,0.6148148148148147,0.7629629629629627,2.4666666666666677,0.333,0.025,0.417,1
2,2,2.69,67.0,0.56,1.75,3.4,26.64,-6.109890109890115,-0.010989010989011002,4.945054945054947,3.2307692307692317,29.67032967032968,0.333,0.025,0.417,1
2,2,3.5999999999999996,61.44,0.55,6.25,6.34,53.64,-19.4,0.08999999999999997,10.010000000000002,5.92,15.329999999999998,0.333,0.025,0.417,1
3,1,0.56,14.64,0.21,0.05,0.09,19.23,-5.652173913043482,0.13043478260869565,-0.08695652173913046,-0.0869565217391304,3.2608695652173916,0.25,0.438,0.313,1
3,1,0.79,13.34,0.24,0.03,0.07,19.98,80.19999999999999,0.12941176470588234,0.023529411764705885,0.058823529411764684,-7.929411764705882,0.25,0.438,0.313,1
3,1,1.6400000000000001,81.51,0.35,0.05,0.12,13.24,71.1250000000001,0.3750000000000007,0.18750000000000036,2.000000000000004,17.250000000000032,0.25,0.438,0.313,1
3,1,1.7999999999999998,92.89,0.41,0.08,0.44,16.0,-1.2019230769230769,-0.00961538461538457,1.4423076923076923,2.4615384615384617,15.711538461538463,0.25,0.438,0.313,1
3,1,2.84,91.64,0.4,1.58,3.0,32.34,-13.409090909090908,0.0,3.8750000000000004,1.897727272727273,14.778409090909092,0.25,0.438,0.313,1
3,1,4.6,68.04,0.4,8.4,6.34,58.35,-26.920000000000016,0.019999999999999907,5.219999999999999,0.7400000000000002,11.299999999999997,0.25,0.438,0.313,1
3,1,5.1,54.58,0.41,11.01,6.71,64.0,-18.745454545454514,0.05454545454545452,7.836363636363627,-0.8545454545454529,22.163636363636332,0.25,0.438,0.313,1
3,2,0.56,22.23,0.26,0.22,0.8,17.81,-34.2608695652174,0.13043478260869554,-0.782608695652174,-3.217391304347826,-4.565217391304336,0.25,0.438,0.313,1
3,2,0.79,14.35,0.29,0.04,0.06,16.76,80.32941176470588,0.11764705882352944,0.14117647058823526,0.6235294117647059,4.6,0.25,0.438,0.313,1
3,2,1.6400000000000001,82.63,0.39,0.16,0.59,20.67,-8.312500000000005,-0.12500000000000036,0.5000000000000009,0.2500000000000007,13.31250000000002,0.25,0.438,0.313,1
3,2,1.7999999999999998,81.3,0.37,0.24,0.63,22.8,-15.211538461538455,0.06730769230769232,1.1923076923076923,1.1057692307692306,28.46153846153846,0.25,0.438,0.313,1
3,2,2.84,65.48,0.44,1.48,1.78,52.4,-0.4943181818181845,0.01704545454545453,2.636363636363637,1.0397727272727273,22.32954545454546,0.25,0.438,0.313,1
3,2,4.6,64.61,0.47,6.12,3.61,91.7,-31.28,0.0,2.459999999999999,0.54,10.47999999999999,0.25,0.438,0.313,1
3,2,5.1,48.97,0.47,7.35,3.88,96.94,-8.836363636363624,0.0,4.745454545454542,-0.1999999999999995,22.109090909090874,0.25,0.438,0.313,1
4,1,0.08000000000000007,8.94,0.26,0.08,0.19,15.4,29.84,0.09999999999999998,0.07999999999999999,-0.08000000000000002,4.48,0.5,0.188,0.313,1
4,1,0.5800000000000001,23.86,0.31,0.12,0.15,17.64,41.409090909090914,0.090909090909091,0.27272727272727276,0.0454545454545455,4.636363636363635,0.5,0.188,0.313,1
4,1,0.8,32.97,0.33,0.18,0.16,18.66,17.685714285714287,0.11428571428571427,0.8000000000000004,0.828571428571429,25.028571428571443,0.5,0.188,0.313,1
4,1,1.15,39.16,0.37,0.46,0.45,27.42,-3.9999999999999902,0.07272727272727265,2.018181818181817,0.8545454545454542,24.618181818181803,0.5,0.188,0.313,1
4,1,1.7000000000000002,36.96,0.41,1.57,0.92,40.96,-44.76923076923081,-0.30769230769230776,3.230769230769233,2.384615384615386,51.53846153846155,0.5,0.188,0.313,1
4,1,1.83,31.14,0.37,1.99,1.23,47.66,-12.13541666666667,0.0,1.6249999999999998,-0.34374999999999994,17.1875,0.5,0.188,0.313,1
4,1,2.79,19.49,0.37,3.55,0.9,64.16,-13.076923076923082,-0.23076923076923073,1.0000000000000033,4.461538461538465,-1.4615384615384452,0.5,0.188,0.313,1
4,1,2.92,17.79,0.34,3.68,1.48,63.97,3.7183098591549304,-0.03286384976525822,0.01408450704225343,-0.38028169014084506,-1.1455399061032854,0.5,0.188,0.313,1
4,2,0.08000000000000007,9.89,0.28,0.09,0.1,15.21,40.14,0.07999999999999996,-0.01999999999999999,-0.020000000000000018,-2.120000000000001,0.5,0.188,0.313,1
4,2,0.5800000000000001,29.96,0.32,0.08,0.09,14.15,18.181818181818183,-0.0454545454545455,0.0,0.13636363636363638,8.409090909090908,0.5,0.188,0.313,1
4,2,0.8,33.96,0.31,0.08,0.12,16.0,43.62857142857143,0.2000000000000001,1.2000000000000004,1.7142857142857149,21.800000000000004,0.5,0.188,0.313,1
4,2,1.15,49.23,0.38,0.5,0.72,23.63,-23.509090909090897,0.10909090909090903,4.509090909090907,1.9454545454545447,19.58181818181817,0.5,0.188,0.313,1
4,2,1.7000000000000002,36.3,0.44,2.98,1.79,34.4,-26.230769230769226,-0.1538461538461541,5.153846153846158,2.7692307692307705,11.384615384615424,0.5,0.188,0.313,1
4,2,1.83,32.89,0.42,3.65,2.15,35.88,-8.41666666666667,0.09375000000000003,7.0625,0.6979166666666666,17.375,0.5,0.188,0.313,1
4,2,2.79,24.81,0.51,10.43,2.82,52.56,4.38461538461539,-0.1538461538461541,11.615384615384624,3.538461538461541,39.46153846153846,0.5,0.188,0.313,1
4,2,2.92,25.38,0.49,11.94,3.28,57.69,-4.798122065727699,-0.023474178403755864,2.507042253521128,-1.1314553990610328,13.70892018779343,0.5,0.188,0.313,1
5,1,0.6699999999999999,18.41,0.28,0.04,0.49,5.72,15.932038834951452,0.04854368932038833,0.2912621359223301,7.941747572815532,-4.514563106796115,0.5,0.375,0.125,0
5,1,1.7000000000000002,34.82,0.33,0.34,8.67,1.07,10.788461538461537,-0.009615384615384623,1.0865384615384615,3.9134615384615388,2.557692307692308,0.5,0.375,0.125,0
5,1,2.74,46.04,0.32,1.47,12.74,3.73,-1.540106951871659,-0.016042780748663114,1.1550802139037433,-1.0802139037433152,2.9197860962566837,0.5,0.375,0.125,0
6,1,0.6100000000000001,18.41,0.24,0.05,0.49,5.76,12.431818181818182,0.05303030303030303,0.22727272727272727,6.196969696969696,-3.4090909090909087,0.508,0.188,0.313,0
6,1,1.9300000000000002,34.82,0.31,0.35,8.67,1.26,12.329670329670332,-0.010989010989011002,1.241758241758242,4.472527472527474,3.120879120879122,0.508,0.188,0.313,0
6,1,2.84,46.04,0.3,1.48,12.74,4.1,5.158823529411766,0.005882352941176475,1.8117647058823525,0.017647058823529033,5.411764705882353,0.508,0.188,0.313,0
7,1,0.6499999999999999,58.14,0.39,0.0,11.75,3.48,-0.7727272727272739,0.09999999999999998,1.8363636363636362,3.0090909090909093,2.5636363636363635,0.571,0.429,0.0,1
7,1,1.75,57.29,0.5,2.02,15.06,6.3,-0.37158469945355177,-0.02732240437158469,3.9836065573770494,0.33333333333333304,10.016393442622949,0.571,0.429,0.0,1
7,1,3.58,56.61,0.45,9.31,15.67,24.63,-5.041322314049588,0.057851239669421496,1.1652892561983472,-2.1239669421487606,11.462809917355374,0.571,0.429,0.0,1
