composition,time,acetate,biomass,butanol,butyrate,ethanol
2.0,1.3,69.99889820753562,0.37648229985083276,0.06790000123952422,0.09657194594397983,22.718654274381546
2.0,1.4,74.22332844116028,0.3777004691559596,0.06790000155458349,0.09657194600564889,22.718654383258613
2.0,1.5,78.46139703453179,0.37892257125651124,0.06790000181145375,0.09657194605592814,22.71865448315151
2.0,1.6,80.60567886147571,0.37967908170419457,0.254301789085114,0.1330578459616724,23.330292873336685
2.0,1.7,79.39083570021091,0.3796790808008634,0.7415118941617435,0.22842334318619892,24.89133698031399
2.0,1.8,78.18512119668212,0.37967908039345627,1.2287218019611283,0.32378880179608605,26.443254009164352
2.0,1.9,76.99511305842368,0.3796790801073785,1.7159316614422555,0.4191542509482574,27.979465059162393
2.0,2.0,75.8330319231797,0.37967908003703277,2.2031414350101826,0.5145196832839569,29.487749793223955
2.0,2.1,74.68884323643711,0.37967908000169104,2.69035119458952,0.6098851128815588,30.978142190232667
2.0,2.2,73.55935481619801,0.37967907982873234,3.177561008855239,0.7052505531833597,32.45383388236203
2.0,2.3,72.44806984139397,0.3796790797075951,3.664770802441738,0.8006159894374529,33.911322294071255
2.0,2.4,71.354988312025,0.3796790796382794,4.15198057534902,0.8959814216438392,35.350607425360366
2.0,2.5,70.28011022809108,0.37967907962078523,4.639190327577083,0.991346849802518,36.771689276229345
2.0,2.6,69.22343558959223,0.37967907965511255,5.126400059125928,1.0867122739134893,38.1745678466782
2.0,2.7,68.18479266549494,0.3796790797320797,5.613609773658517,1.1820776946937341,39.5594148385028
2.0,2.8,67.16164835698297,0.3796790797162546,6.100819525204955,1.2774431227189929,40.928762919253636
2.0,2.9,66.15593217341765,0.37967907971079845,6.588029272609489,1.372808549933524,42.28068290807268
2.0,3.0,65.167644114799,0.3796790797157113,7.075239015872119,1.4681739763373274,43.615174804959906
2.0,3.1,64.19678418112703,0.3796790797309931,7.562448754992842,1.5635394019304028,44.93223860991533
2.0,3.2,63.243352372401716,0.37967907975664383,8.04965848997166,1.65890482671275,46.23187432293895
2.0,3.3,62.30734868862308,0.3796790797926635,8.536868220808572,1.754270250684369,47.51408194403076
2.0,3.4,61.38626636128372,0.3796790798185676,9.024077955698555,1.849635675449328,48.781368176483774
2.0,3.5,60.48065162150495,0.37967907983881966,9.511287692855904,1.9450011006580958,50.03318680338704
2.0,3.6,59.59083507466936,0.3796790798561213,9.99849743119982,2.0403665260991204,51.26920722795878
2.0,3.7,58.71661474046043,0.3796790798688221,10.485707171390608,2.135731951901648,52.48963142526093
2.0,3.8,57.85778863856165,0.37967907987527144,10.972916914088566,2.2310973781949235,53.69466137035542
2.0,3.9,57.0141547886565,0.37967907987381877,11.460126659954,2.3264628051081946,54.88449903830419
2.0,4.0,56.18535712704855,0.37967907987364397,11.947336405311269,2.421828231921998,56.05950052202603
2.0,4.1,55.37109480887488,0.37967907988004557,12.4345461480386,2.517193658221023,57.21996668325071
2.0,4.2,54.57126510773491,0.3796790798843966,12.921755891589328,2.612559084681218,58.36600022091568
2.0,4.3,53.78564687064683,0.3796790798863941,13.408965636084224,2.707924511326223,59.497822287038126
2.0,4.4,53.01401894462881,0.37967907988573524,13.896175381644076,2.80328993817968,60.615654033635295
2.0,4.5,52.25616017669904,0.3796790798821171,14.383385128389653,2.898655365265228,61.719716612724376
2.0,4.6,51.5118494138757,0.3796790798752367,14.87059487644174,2.9940207926065097,62.8102311763226
3.0,0.0,14.698247511312296,0.2936538461538477,0.062187782805430206,0.14073076923077,19.233065610859832
3.0,0.1,16.052482445439118,0.32828366146331345,0.062187782805430206,0.14073076923077,19.233065610859832
3.0,0.2,17.556055296163947,0.36673227094221456,0.062187782805430206,0.14073076923077,19.233065610859832
3.0,0.3,19.22997322310788,0.4095368591214792,0.062187782805430206,0.14073076923077,19.233065610859832
3.0,0.4,21.097986874787452,0.45730476565162204,0.062187782805430206,0.14073076923077,19.233065610859832
3.0,0.5,23.185379416360643,0.5106825189287106,0.062187782805430206,0.14073076923077,19.233065610859832
3.0,0.6,25.515012245790494,0.5702547191349038,0.062187782805430206,0.14073076923077,19.233065610859832
