composition,trial,time,acetate,biomass,butanol,butyrate,ethanol
1,2,5.4,23.955797575953444,0.5096305429864251,23.186454977375554,7.577984356819641,26.279367000646403
1,2,5.5,23.874079831932754,0.509365546218487,24.406993697478974,6.826414705882341,27.978456302520996
1,2,5.6,23.909214705882334,0.5094147058823524,25.69287647058821,6.026238235294102,29.83997352941175
2,1,0.0,17.195570135746703,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357578
2,1,0.1,20.024342081448076,0.35063891402715125,0.06499185520362026,0.16107511312217282,21.56163529411776
2,1,0.2,23.290536651583842,0.3472778280543005,0.06208959276018134,0.16068687782805519,21.422590950226358
2,1,0.3,27.217236199095172,0.34878733031674397,0.06161447963800941,0.15939728506787418,21.096053393665272
2,1,0.4,31.610524886878004,0.3528018099547531,0.0590171945701361,0.1459529411764714,20.602166515837215
2,1,0.5,36.89646515837124,0.3628470588235314,0.062122171945701736,0.13972307692307775,20.153565610859836
2,1,0.6,42.82000904977399,0.37822624434389346,0.0738461538461543,0.15345701357466157,19.990937556561196
2,1,0.7,48.75799638009076,0.3947963800904999,0.09052126696832632,0.1862787330316754,19.855670588235405
2,1,0.8,54.42802533936681,0.4116742081447986,0.12245972850678805,0.26532217194570296,19.849524886877937
2,1,0.9,59.892210859728834,0.4279339366515861,0.16883529411764803,0.38697375565611086,19.980570135746714
2,1,1.0,64.91105520362026,0.44385339366516074,0.2282000000000013,0.5409031674208176,20.245493212669793
2,1,1.1,69.29938642533975,0.45888778280543235,0.2984814479638026,0.719295927601814,20.642868778280654
2,1,1.2,72.90405248868818,0.47231945701357725,0.37691221719457224,0.9127619909502313,21.16172398190057
2,1,1.3,75.60419185520402,0.4836669683257945,0.4603004524886902,1.1109447963800965,21.78153846153858
2,1,1.4,77.31082443438956,0.4922760180995502,0.544620814479641,1.3019122171945772,22.472244343891525
2,1,1.5,78.69750678733075,0.4999438914027176,0.6298542986425373,1.4850334841629038,23.21554932126709
2,1,1.6,79.57078461538504,0.5062027149321294,0.7134561085972889,1.6565882352941266,24.011521266968458
